location_id,time,weather_code,rain_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,et0_fao_evapotranspiration,precipitation_sum,daylight_duration,wind_gusts_10m_max,wind_direction_10m_dominant,showers_sum,location_id_effettivo,time,weather_code_effettivo,temperature_2m_max_effettivo,temperature_2m_min_effettivo,rain_sum_effettivo,precipitation_sum_effettivo,wind_speed_10m_max_effettivo,et0_fao_evapotranspiration_effettivo,daylight_duration_effettivo,wind_gusts_10m_max_effettivo,wind_direction_10m_dominant_effettivo
5,2025-03-27,3,0.00,17.0,7.9,19.9,2.97,0.00,45041.01,43.9,44,0.00,5,2025-03-27,80,16.0,12.4,0.20,0.20,22.9,2.54,45041.01,47.5,27
6,2025-03-21,3,0.00,16.7,10.3,5.7,1.90,0.00,43956.95,18.4,56,0.00,6,2025-03-21,3,16.6,10.3,0.00,0.00,5.1,1.85,43956.95,18.4,9
6,2025-03-22,63,7.50,15.5,11.1,7.7,0.77,7.60,44140.17,19.4,107,0.00,6,2025-03-22,80,13.8,11.1,8.30,8.60,9.5,0.78,44140.17,22.7,78
6,2025-03-23,80,21.10,16.8,11.0,11.3,2.23,21.20,44322.90,27.0,235,0.10,6,2025-03-23,61,18.0,11.6,0.80,0.90,9.4,2.32,44322.90,21.2,87
6,2025-03-24,80,0.00,15.9,9.2,6.8,2.08,1.90,44505.01,19.4,38,1.90,6,2025-03-24,3,18.0,10.8,0.00,0.00,9.1,2.73,44505.01,14.8,257
6,2025-03-25,80,6.60,16.4,10.1,28.9,2.52,8.70,44686.38,73.4,36,1.80,6,2025-03-25,3,17.0,10.0,0.00,0.00,8.2,2.62,44686.38,13.0,185
6,2025-03-26,80,0.30,14.6,9.7,20.8,1.51,7.50,44866.90,38.2,30,7.50,6,2025-03-26,3,18.3,10.6,0.00,0.00,15.8,3.34,44866.90,38.9,36
6,2025-03-27,3,0.00,17.5,7.8,21.5,2.99,0.00,45046.45,40.0,40,0.00,6,2025-03-27,80,15.4,12.9,1.20,1.70,23.3,2.62,45046.45,58.3,29
7,2025-03-21,3,0.00,16.9,8.5,13.2,3.30,0.00,43873.32,36.0,181,0.00,7,2025-03-21,3,17.0,8.5,0.00,0.00,12.7,3.29,43873.32,36.0,177
7,2025-03-22,3,0.00,19.5,13.1,20.2,3.86,0.00,44022.84,56.5,184,0.00,7,2025-03-22,3,19.7,13.0,0.00,0.00,18.8,3.59,44022.84,54.0,180
7,2025-03-23,3,0.00,23.4,17.8,24.2,4.43,0.00,44171.94,79.6,175,0.00,7,2025-03-23,3,26.2,17.9,0.00,0.00,21.6,4.91,44171.94,70.2,176
7,2025-03-24,80,0.20,21.6,15.8,18.8,2.55,1.50,44320.54,68.0,195,1.30,7,2025-03-24,3,24.8,16.6,0.00,0.00,20.3,3.99,44320.54,55.1,177
7,2025-03-25,61,1.50,21.9,14.4,27.1,3.12,3.50,44468.52,73.1,172,2.00,7,2025-03-25,95,17.2,15.1,11.30,15.00,10.5,0.84,44468.52,31.3,303
