location_id,time,rain_sum,weather_code,temperature_2m_max,wind_speed_10m_max,precipitation_sum,daylight_duration,temperature_2m_min,wind_gusts_10m_max,et0_fao_evapotranspiration,showers_sum,wind_direction_10m_dominant,location_id_effettivo,time,weather_code_effettivo,rain_sum_effettivo,temperature_2m_max_effettivo,temperature_2m_min_effettivo,wind_speed_10m_max_effettivo,et0_fao_evapotranspiration_effettivo,precipitation_sum_effettivo,daylight_duration_effettivo,wind_gusts_10m_max_effettivo,wind_direction_10m_dominant_effettivo,showers_sum_effettivo
5,2025-03-18,0.40,3,9.3,25.2,0.40,43405.71,3.8,57.6,2.87,0.00,40,5,2025-03-18,3,0.00,11.0,4.7,18.7,3.13,0.00,43405.71,41.0,45,0.00
5,2025-03-19,0.00,1,9.9,23.8,0.00,43589.10,2.2,51.1,2.83,0.00,34,5,2025-03-19,0,0.00,14.2,1.0,5.9,2.67,0.00,43589.10,12.2,89,0.00
5,2025-03-20,0.00,3,13.9,5.1,0.00,43772.34,-1.6,10.8,2.50,0.00,115,5,2025-03-20,3,0.00,16.7,0.7,7.1,2.67,0.00,43772.34,16.9,153,0.00
6,2025-03-14,34.20,80,14.4,15.3,41.70,42670.05,11.7,36.0,0.47,6.60,121,6,2025-03-14,80,43.70,14.4,11.5,14.1,0.48,51.90,42670.05,36.0,111,7.30
6,2025-03-15,1.60,80,15.9,8.0,2.20,42853.55,11.0,19.4,1.12,0.50,174,6,2025-03-15,80,4.30,14.9,11.4,11.2,0.77,5.70,42853.55,31.7,107,1.30
6,2025-03-16,0.80,80,13.4,21.9,0.80,43037.35,7.1,49.3,2.30,0.00,246,6,2025-03-16,80,0.30,13.3,7.9,22.9,2.35,0.30,43037.35,51.5,254,0.00
6,2025-03-17,2.00,61,13.4,14.3,2.90,43221.35,5.0,34.2,1.97,0.00,15,6,2025-03-17,3,0.00,14.6,5.9,13.8,2.57,0.00,43221.35,32.0,33,0.00
6,2025-03-18,0.40,61,8.6,28.5,0.40,43405.42,3.9,63.7,2.99,0.00,41,6,2025-03-18,2,0.00,11.0,5.7,21.8,3.47,0.00,43405.42,53.3,56,0.00
6,2025-03-19,0.00,0,9.8,33.4,0.00,43589.45,2.8,60.5,3.02,0.00,44,6,2025-03-19,0,0.00,14.2,5.5,16.0,3.38,0.00,43589.45,38.9,51,0.00
6,2025-03-20,0.00,45,13.5,6.1,0.00,43773.34,-2.3,11.5,2.47,0.00,108,6,2025-03-20,3,0.00,16.0,3.5,7.0,2.78,0.00,43773.34,15.8,15,0.00
7,2025-03-14,0.00,3,23.9,33.9,0.00,42823.15,18.2,76.3,5.78,0.00,170,7,2025-03-14,3,0.00,23.7,18.2,34.3,5.81,0.00,42823.15,79.9,165,0.00
7,2025-03-15,0.00,3,24.5,14.2,0.00,42972.88,16.1,34.9,4.15,0.00,198,7,2025-03-15,3,0.00,25.3,16.8,14.0,4.43,0.00,42972.88,38.2,186,0.00
7,2025-03-16,0.00,3,16.7,20.7,0.10,43122.87,12.2,47.5,2.84,0.10,1,7,2025-03-16,3,0.00,17.0,12.4,20.6,3.23,0.00,43122.87,50.8,6,0.00
7,2025-03-17,0.00,3,15.4,15.8,0.00,43273.02,11.2,37.8,2.80,0.00,17,7,2025-03-17,3,0.00,16.3,11.3,20.0,3.36,0.30,43273.02,45.4,358,0.30
7,2025-03-18,6.00,61,16.5,16.1,6.30,43423.23,11.8,48.6,1.52,0.00,165,7,2025-03-18,61,3.40,13.6,9.2,8.5,1.50,5.40,43423.23,28.8,123,1.90
7,2025-03-19,11.20,61,12.2,12.9,11.50,43573.42,10.1,22.3,1.19,0.00,79,7,2025-03-19,2,0.00,13.9,7.6,12.3,2.73,0.00,43573.42,32.4,196,0.00
7,2025-03-20,0.20,61,12.9,10.2,0.20,43723.48,9.7,17.6,2.56,0.00,84,7,2025-03-20,2,0.00,14.9,7.3,13.4,3.05,0.00,43723.48,35.3,167,0.00
8,2025-03-14,31.50,80,13.4,28.8,32.10,42624.44,10.3,50.0,1.20,0.20,61,8,2025-03-14,80,30.80,13.3,10.3,28.8,1.22,31.40,42624.44,50.0,60,0.30
8,2025-03-15,7.90,95,13.0,20.7,9.90,42818.22,11.0,33.5,0.92,1.50,53,8,2025-03-15,95,12.10,12.8,10.7,20.8,0.94,13.50,42818.22,31.7,61,1.30
8,2025-03-16,0.00,80,15.4,21.5,0.20,43012.32,8.9,36.7,2.35,0.20,275,8,2025-03-16,80,0.40,15.4,9.4,24.2,2.67,1.20,43012.32,40.7,206,0.80
8,2025-03-17,2.90,61,9.9,22.3,3.40,43206.62,4.5,47.5,1.18,0.60,78,8,2025-03-17,80,0.40,12.0,6.6,27.6,1.80,0.50,43206.62,51.5,109,0.00
8,2025-03-18,0.00,3,7.9,25.3,0.00,43400.99,3.0,56.5,3.12,0.00,73,8,2025-03-18,3,0.00,8.7,5.5,31.8,3.02,0.00,43400.99,60.8,75,0.00
8,2025-03-19,0.00,0,10.0,10.5,0.00,43595.32,1.2,25.2,2.43,0.00,35,8,2025-03-19,2,0.00,10.5,3.7,11.9,2.52,0.00,43595.32,24.5,143,0.00
8,2025-03-20,0.00,1,12.1,7.6,0.00,43789.50,0.3,16.9,2.36,0.00,209,8,2025-03-20,3,0.00,11.7,4.2,16.2,2.39,0.00,43789.50,26.6,187,0.00
9,2025-03-14,0.00,3,19.8,25.8,0.00,42765.80,13.3,61.9,2.79,0.00,158,9,2025-03-14,3,0.00,20.3,13.3,26.1,2.75,0.00,42765.80,62.3,158,0.00
9,2025-03-15,0.00,3,21.7,30.3,0.00,42928.04,15.6,72.7,2.81,0.00,157,9,2025-03-15,3,0.00,21.6,15.7,28.4,2.97,0.00,42928.04,67.7,161,0.00
9,2025-03-16,0.00,45,20.8,17.5,0.20,43090.56,12.2,38.2,3.54,0.20,255,9,2025-03-16,80,0.00,21.0,12.9,15.7,3.49,0.60,43090.56,35.3,254,0.60
9,2025-03-17,0.00,3,16.3,19.8,0.00,43253.25,8.1,45.4,2.91,0.00,298,9,2025-03-17,3,0.00,15.0,8.6,20.7,2.76,0.00,43253.25,49.3,301,0.00
9,2025-03-18,0.30,3,13.1,14.5,0.30,43416.00,7.5,33.8,2.07,0.00,16,9,2025-03-18,61,0.00,12.0,8.1,21.4,2.84,0.10,43416.00,47.2,349,0.00
9,2025-03-19,2.10,61,11.0,21.6,2.10,43578.73,8.8,41.8,2.75,0.00,32,9,2025-03-19,1,0.00,12.1,5.0,19.1,3.16,0.00,43578.73,42.5,12,0.00
9,2025-03-20,0.00,1,12.7,19.4,0.00,43741.32,8.6,36.7,3.91,0.00,27,9,2025-03-20,2,0.00,14.6,2.7,10.2,2.66,0.00,43741.32,23.8,329,0.00
